2.1871	0	3.6994	15.8	0	0
2.1871	1.98952E-13	3.699400528	15.80003016	0	0
2.1871	3.18179E-12	3.699402111	15.8001206	0	0
2.1871	1.61038E-11	3.699404748	15.80027133	0	0
2.1871	5.08824E-11	3.69940844	15.80048229	0	0
2.1871	1.24191E-10	3.699413186	15.80075348	0	0
2.1871	2.57454E-10	3.699418985	15.80108487	0	0
2.1871	4.76839E-10	3.699425837	15.80147643	0	0
2.1871	8.13248E-10	3.699433742	15.80192814	0	0
2.1871	1.30232E-09	3.699442699	15.80243997	0	0
2.1871	1.98441E-09	3.699452708	15.80301191	0	0
2.1871	2.9046E-09	3.699463769	15.80364392	0	0
2.1871	4.11268E-09	3.69947588	15.80433599	0	0
2.1871	5.66313E-09	3.699489041	15.80508809	0	0
2.1871	7.61517E-09	3.699503253	15.80590019	0	0
2.1871	1.00327E-08	3.699518515	15.80677227	0	0
2.1871	1.29842E-08	3.699534825	15.80770431	0	0
2.1871	1.6543E-08	3.699552185	15.80869628	0	0
2.1871	2.07871E-08	3.699570593	15.80974816	0	0
2.1871	2.57989E-08	3.699590049	15.81085992	0	0
2.1871	3.16658E-08	3.699610552	15.81203155	0	0
2.1871	3.84797E-08	3.699632103	15.81326301	0	0
2.1871	4.63372E-08	3.6996547	15.81455428	0	0
2.1871	5.53393E-08	3.699678343	15.81590534	0	0
2.1871	6.55921E-08	3.699703033	15.81731616	0	0
2.1871	7.72058E-08	3.699728768	15.81878672	0	0
2.1871	9.02958E-08	3.699755548	15.820317	0	0
2.1871	1.04981E-07	3.699783372	15.82190697	0	0
2.1871	1.21387E-07	3.699812241	15.82355661	0	0
2.1871	1.39642E-07	3.699842153	15.82526589	0	0
2.1871	1.5988E-07	3.699873109	15.82703479	0	0
2.1871	1.82238E-07	3.699905107	15.82886328	0	0
2.1871	2.0686E-07	3.699938148	15.83075134	0	0
2.1871	2.33892E-07	3.699972232	15.83269895	0	0
2.1871	2.63487E-07	3.700007356	15.83470608	0	0
2.1871	2.95801E-07	3.700043522	15.83677271	0	0
2.1871	3.30995E-07	3.700080729	15.83889882	0	0
2.1871	3.69234E-07	3.700118977	15.84108437	0	0
2.1871	4.10689E-07	3.700158264	15.84332935	0	0
2.1871	4.55533E-07	3.70019859	15.84563373	0	0
2.1871	5.03948E-07	3.700239956	15.84799749	0	0
2.1871	5.56115E-07	3.700282361	15.8504206	0	0
2.1871	6.12223E-07	3.700325803	15.85290305	0	0
2.1871	6.72465E-07	3.700370284	15.85544479	0	0
2.1871	7.37039E-07	3.700415802	15.85804582	0	0
2.1871	8.06145E-07	3.700462357	15.8607061	0	0
2.1871	8.7999E-07	3.700509948	15.86342562	0	0
2.1871	9.58785E-07	3.700558576	15.86620434	0	0
2.1871	1.04275E-06	3.700608239	15.86904225	0	0
2.1871	1.13209E-06	3.700658938	15.87193932	0	0
2.1871	1.22704E-06	3.700710672	15.87489553	0	0
2.1871	1.32784E-06	3.70076344	15.87791084	0	0
2.1871	1.4347E-06	3.700817242	15.88098525	0	0
2.1871	1.54787E-06	3.700872077	15.88411871	0	0
2.1871	1.66759E-06	3.700927946	15.88731122	0	0
2.1871	1.7941E-06	3.700984848	15.89056274	0	0
2.1871	1.92767E-06	3.701042782	15.89387325	0	0
2.1871	2.06854E-06	3.701101748	15.89724273	0	0
